반기,서명,저자,도서ID,대출횟수
2007년 하반기(9월-2월),에스프레소,공병호,SS_025459,12
2007년 상반기(3월-8월),On the road,박준,SS_018844,14
2007년 상반기(3월-8월),배려,한상복,SS_225166,14
2007년 상반기(3월-8월),내려놓음,이용규,SS_017012,14
2007년 상반기(3월-8월),"오기사, 행복을 찾아 바르셀로나로 떠나다",오영욱,SS_016517,14
2007년 상반기(3월-8월),"스페인, 너는 자유다",손미나,SS_235823,14
2007년 상반기(3월-8월),프린세스 마법의 주문,"안, 아네스",SS_227594,13
2007년 상반기(3월-8월),내 영단어장을 공개합니다,미기철부,SS_229108,13
2007년 상반기(3월-8월),위대한 캣츠비,강도하,SS_019524,13
2007년 상반기(3월-8월),(내가 쓰고 싶은 말을 다 쓰는)영어일기 영작패턴,하명옥,SS_230902,13
2007년 상반기(3월-8월),러브 액츄얼리,우수정,SS_242997,12
2006년 하반기(9월-2월),(Hackers) 해커스 토익,"Cho, David",SS_016811,20
2006년 하반기(9월-2월),피라니아 이야기,"Posada, Joachim de",SS_230611,16
2006년 하반기(9월-2월),끌리는 사람은 1％가 다르다,이민규,SS_020819,14
2006년 하반기(9월-2월),피라니아 이야기,"Posada, Joachim de",SS_230610,14
2006년 하반기(9월-2월),젊은 사자는 썩은 고기를 먹지 않는다,전병욱,SS_229111,14
2006년 하반기(9월-2월),생산적인 삶을 위한 자기발전 노트 50,안상헌,SS_230984,13
2006년 하반기(9월-2월),(뉴토익이 만만해지는) 토마토,이보영,SS_229080,13
2006년 하반기(9월-2월),(현태준 이우일의) 도쿄 여행기,현태준,SS_230575,13
2006년 하반기(9월-2월),(새)먼나라 이웃나라,이원복,SS_255334,13ㅌ
2006년 하반기(9월-2월),TEPS 한번에 끝내기,서울대학교,SS_234909,12
2006년 상반기(3월-8월),(Prep program for)SEPT,김병원,SS_241677,19
2006년 상반기(3월-8월),위대한 캣츠비,강도하,SS_019519,16
2006년 상반기(3월-8월),멈추지 않는 도전,박지성,SS_240178,15
2006년 상반기(3월-8월),핑!,"Gold, Stuart Avery",SS_020597,15
2006년 상반기(3월-8월),(Prep program for)SEPT,김병원,SS_241676,15
2006년 상반기(3월-8월),긍정의 힘,"Osteen, Joel",SS_020427,14
2006년 상반기(3월-8월),위트 상식사전,"Brednich, Rolf W",SS_019453,14
2006년 상반기(3월-8월),여행자의 로망 백서,박사,SS_021688,14
2006년 상반기(3월-8월),배려,한상복,SS_225166,14
2006년 상반기(3월-8월),핑!,"Gold, Stuart Avery",SS_020596,13
2005년 하반기(9월-2월),스키너의 심리상자 열기,"Slater, Lauren",SS_229651,17
2005년 하반기(9월-2월),(새)먼나라 이웃나라,이원복,SS_255334,14
2005년 하반기(9월-2월),긍정의 힘,"Osteen, Joel",SS_226696,14
2005년 하반기(9월-2월),(새)먼나라 이웃나라,이원복,SS_255331,13
2005년 하반기(9월-2월),넥스토익,김대중,SS_229629,13
2005년 하반기(9월-2월),스펀지,한국방송공사,SS_226674,13
2005년 하반기(9월-2월),(21세기) 먼나라 이웃나라,이원복,SS_229544,13
2005년 하반기(9월-2월),(Hackers) 해커스 토익,"Cho, David",SS_015928,12
2005년 하반기(9월-2월),(Hackers) 해커스 토익,"Cho, David",SS_229729,12
2005년 하반기(9월-2월),위트 상식사전,"Brednich, Rolf W",SS_019453,12
2005년 상반기(3월-8월),(ETS)TOEIC 기출문제800,The Chauncey Group International,SS_241572,28
2005년 상반기(3월-8월),Snowcat in Paris,권윤주,SS_257761,17
2005년 상반기(3월-8월),(새)먼나라 이웃나라,이원복,SS_255335,17
2005년 상반기(3월-8월),(들으면 말이 되는)이보영의 120분 영어회화,이보영,SS_014709,16
2005년 상반기(3월-8월),"(TOEIC Part 3.4,)답이 보이는 실전연습",김대균,SS_227409,15
2005년 상반기(3월-8월),중국철학사,풍우란,SS_256663,15
2005년 상반기(3월-8월),살아 있는 동안 꼭 해야 할 49가지,탄줘잉,SS_261455,15
2005년 상반기(3월-8월),(새)먼나라 이웃나라,이원복,SS_255334,15
2005년 상반기(3월-8월),(입에 착 붙는) 이보영의 패턴회화 120,이보영,SS_016010,13
2005년 상반기(3월-8월),"화성에서 온 남자, 금성에서 온 여자","그레이, 존",SS_197475,13
2004년 하반기(9월-2월),문스패밀리,김희문,SS_255968,12
2004년 하반기(9월-2월),체 게바라,"바리오, 일다",SS_258756,9
2004년 하반기(9월-2월),영문법 109 포인트 찌르기,"Sellen, Derek",SS_010864,8
2004년 하반기(9월-2월),나를 변화시키는 좋은 습관,한창욱,SS_262882,8
2004년 하반기(9월-2월),연애 교과서,송창민,SS_012356,8
2004년 하반기(9월-2월),설득의 심리학,"Cialdini, Robert B",SS_228973,8
2004년 하반기(9월-2월),문스패밀리,김희문,SS_255963,8
2004년 하반기(9월-2월),(새)먼나라 이웃나라,이원복,SS_255334,7
2004년 하반기(9월-2월),(새)먼나라 이웃나라,이원복,SS_255331,7
2004년 하반기(9월-2월),(이야기)일본사,김희영,SS_197551,7
